week_id,week_label,week_start,week_path
2025-12-15,"Dec 15, 2025 - Dec 21, 2025",2025-12-15,data/app/weeks/2025-12-15
2025-12-22,"Dec 22, 2025 - Dec 28, 2025",2025-12-22,data/app/weeks/2025-12-22
2025-12-29,"Dec 29, 2025 - Jan 04, 2026",2025-12-29,data/app/weeks/2025-12-29
2026-01-05,"Jan 05, 2026 - Jan 11, 2026",2026-01-05,data/app/weeks/2026-01-05
2026-01-12,"Jan 12, 2026 - Jan 18, 2026",2026-01-12,data/app/weeks/2026-01-12
2026-01-19,"Jan 19, 2026 - Jan 25, 2026",2026-01-19,data/app/weeks/2026-01-19
2026-01-26,"Jan 26, 2026 - Feb 01, 2026",2026-01-26,data/app/weeks/2026-01-26
2026-02-02,"Feb 02, 2026 - Feb 08, 2026",2026-02-02,data/app/weeks/2026-02-02
2026-02-09,"Feb 09, 2026 - Feb 15, 2026",2026-02-09,data/app/weeks/2026-02-09
2026-02-16,"Feb 16, 2026 - Feb 22, 2026",2026-02-16,data/app/weeks/2026-02-16
2026-02-23,"Feb 23, 2026 - Mar 01, 2026",2026-02-23,data/app/weeks/2026-02-23
2026-03-02,"Mar 02, 2026 - Mar 08, 2026",2026-03-02,data/app/weeks/2026-03-02
2026-03-09,"Mar 09, 2026 - Mar 15, 2026",2026-03-09,data/app/weeks/2026-03-09
2026-03-16,"Mar 16, 2026 - Mar 22, 2026",2026-03-16,data/app/weeks/2026-03-16
2026-03-23,"Mar 23, 2026 - Mar 29, 2026",2026-03-23,data/app/weeks/2026-03-23
2026-03-30,"Mar 30, 2026 - Apr 05, 2026",2026-03-30,data/app/weeks/2026-03-30
2026-04-06,"Apr 06, 2026 - Apr 12, 2026",2026-04-06,data/app/weeks/2026-04-06
2026-04-13,"Apr 13, 2026 - Apr 19, 2026",2026-04-13,data/app/weeks/2026-04-13
2026-04-20,"Apr 20, 2026 - Apr 26, 2026",2026-04-20,data/app/weeks/2026-04-20
2026-04-27,"Apr 27, 2026 - May 03, 2026",2026-04-27,data/app/weeks/2026-04-27
