date,trade_count_sum
2025-12-15,8006
2025-12-16,5178
2025-12-17,7319
2025-12-18,6125
2025-12-19,5530
2025-12-20,0
2025-12-21,159
2025-12-22,4610
2025-12-23,3503
2025-12-24,1408
2025-12-25,29
2025-12-26,0
2025-12-29,7669
2025-12-30,5523
2025-12-31,4288
2026-01-01,284
2026-01-02,9235
2026-01-03,0
2026-01-04,395
2026-01-05,9119
2026-01-06,8676
2026-01-07,6597
2026-01-08,5317
2026-01-09,5406
2026-01-10,0
2026-01-11,120
2026-01-12,8988
2026-01-13,8131
2026-01-14,8966
2026-01-15,6433
2026-01-16,4055
2026-01-17,0
2026-01-18,408
2026-01-19,2831
2026-01-20,6631
2026-01-21,7160
2026-01-22,5202
2026-01-23,5861
2026-01-24,0
2026-01-25,482
2026-01-26,5683
2026-01-27,4894
2026-01-28,4492
2026-01-29,3997
2026-01-30,0
2026-02-02,10110
2026-02-03,8580
2026-02-04,8049
2026-02-05,17520
2026-02-06,15732
2026-02-07,0
2026-02-08,535
2026-02-09,6813
2026-02-10,4760
2026-02-11,6632
2026-02-12,7243
2026-02-13,6443
2026-02-14,0
2026-02-15,137
2026-02-16,2132
2026-02-17,5133
2026-02-18,5427
2026-02-19,4895
2026-02-20,5108
2026-02-21,0
2026-02-22,190
2026-02-23,9380
2026-02-24,5872
2026-02-25,7675
2026-02-26,4854
2026-02-27,0
2026-03-02,12645
2026-03-03,8540
2026-03-04,11839
2026-03-05,7065
2026-03-06,6340
2026-03-07,0
2026-03-08,681
2026-03-09,6800
2026-03-10,8129
2026-03-11,4916
2026-03-12,5346
2026-03-13,10195
2026-03-14,0
2026-03-15,0
2026-03-16,5934
2026-03-17,5114
2026-03-18,7211
